technical_name, millesime, price, parker_rating
HAUT_MARBUZET, 1989, 53, 86
HAUT_MARBUZET, 1990, 60, 84
HAUT_MARBUZET, 1992, 28, 82
HAUT_MARBUZET, 1993, 30, 82
HAUT_MARBUZET, 1994, 28, 89
HAUT_MARBUZET, 1995, 39, 87
HAUT_MARBUZET, 1996, 41, 87
HAUT_MARBUZET, 1997, 41, 85
HAUT_MARBUZET, 1998, 36, 87
HAUT_MARBUZET, 1999, 42, 88
HAUT_MARBUZET, 2000, 42, 79
HAUT_MARBUZET, 2001, 36, 89
HAUT_MARBUZET, 2002, 36, 87
HAUT_MARBUZET, 2003, 38, 88
HAUT_MARBUZET, 2004, 30, 88
HAUT_MARBUZET, 2005, 48, 89
HAUT_MARBUZET, 2006, 36, 87
HAUT_MARBUZET, 2007, 34, 84
HAUT_MARBUZET, 2008, 34, 88
HAUT_MARBUZET, 2009, 46, 87
HAUT_MARBUZET, 2010, 36, 86
HAUT_MARBUZET, 2011, 29, 88
HAUT_MARBUZET, 2012, 31, 87
HAUT_MARBUZET, 2013, 22, 84
PAVIE, 1989, 132, 89
PAVIE, 1990, 140, 89
PAVIE, 1991, 54, 82
PAVIE, 1992, 78, 78
PAVIE, 1993, 79, 75
PAVIE, 1994, 98, 80
PAVIE, 1995, 108, 78
PAVIE, 1996, 117, 85
PAVIE, 1997, 111, 86
PAVIE, 1998, 180, 95
PAVIE, 1999, 186, 92
PAVIE, 2000, 400, 100
PAVIE, 2001, 198, 96
PAVIE, 2002, 183, 93
PAVIE, 2003, 205, 96
PAVIE, 2004, 167, 94
PAVIE, 2005, 298, 100
PAVIE, 2006, 188, 95
PAVIE, 2007, 169, 94
PAVIE, 2008, 181, 94
PAVIE, 2009, 301, 100
PAVIE, 2010, 326, 100
PAVIE, 2011, 166, 95
PAVIE, 2012, 230, 95
PETRUS, 1989, 3060, 100
PETRUS, 1990, 3000, 100
PETRUS, 1992, 1386, 90
PETRUS, 1993, 1440, 92
PETRUS, 1994, 1440, 93
PETRUS, 1995, 1680, 96
PETRUS, 1996, 1620, 92
PETRUS, 1997, 1410, 91
PETRUS, 1998, 2340, 98
PETRUS, 1999, 1590, 94
PETRUS, 2000, 3565, 100
PETRUS, 2001, 1840, 95
PETRUS, 2002, 1550, 90
PETRUS, 2003, 1800, 93
PETRUS, 2004, 1560, 93
PETRUS, 2005, 2610, 97
PETRUS, 2006, 1580, 96
PETRUS, 2007, 1520, 91
PETRUS, 2008, 1760, 97
PETRUS, 2009, 2760, 100
PETRUS, 2010, 2910, 100
PETRUS, 2011, 1710, 95
PETRUS, 2012, 1786, 96
PETRUS, 2013, 1620, 91
LEOVILLE_BARTON, 1989, 84, 90
LEOVILLE_BARTON, 1990, 105, 93
LEOVILLE_BARTON, 1991, 62, 87
LEOVILLE_BARTON, 1992, 52, 87
LEOVILLE_BARTON, 1993, 53, 88
LEOVILLE_BARTON, 1994, 52, 90
LEOVILLE_BARTON, 1995, 84, 91
LEOVILLE_BARTON, 1996, 87, 93
LEOVILLE_BARTON, 1997, 53, 86
LEOVILLE_BARTON, 1998, 65, 91
LEOVILLE_BARTON, 1999, 60, 88
LEOVILLE_BARTON, 2000, 100, 95
LEOVILLE_BARTON, 2001, 66, 92
LEOVILLE_BARTON, 2002, 60, 92
LEOVILLE_BARTON, 2003, 84, 96
LEOVILLE_BARTON, 2004, 59, 92
LEOVILLE_BARTON, 2005, 96, 92
LEOVILLE_BARTON, 2006, 60, 92
LEOVILLE_BARTON, 2007, 54, 89
LEOVILLE_BARTON, 2008, 57, 92
LEOVILLE_BARTON, 2009, 82, 93
LEOVILLE_BARTON, 2010, 99, 96
LEOVILLE_BARTON, 2011, 45, 88
LEOVILLE_BARTON, 2012, 51, 92
LEOVILLE_BARTON, 2013, 52, 90
LAFITE_ROTHSCHILD, 1989, 456, 90
LAFITE_ROTHSCHILD, 1990, 637, 96
LAFITE_ROTHSCHILD, 1991, 460, 86
LAFITE_ROTHSCHILD, 1992, 468, 89
LAFITE_ROTHSCHILD, 1993, 516, 88
LAFITE_ROTHSCHILD, 1994, 482, 90
LAFITE_ROTHSCHILD, 1995, 597, 95
LAFITE_ROTHSCHILD, 1996, 828, 98
LAFITE_ROTHSCHILD, 1997, 485, 92
LAFITE_ROTHSCHILD, 1998, 540, 98
LAFITE_ROTHSCHILD, 1999, 556, 95
LAFITE_ROTHSCHILD, 2000, 1231, 98
LAFITE_ROTHSCHILD, 2001, 519, 94
LAFITE_ROTHSCHILD, 2002, 468, 94
LAFITE_ROTHSCHILD, 2003, 750, 100
LAFITE_ROTHSCHILD, 2004, 454, 95
LAFITE_ROTHSCHILD, 2005, 696, 96
LAFITE_ROTHSCHILD, 2006, 540, 95
LAFITE_ROTHSCHILD, 2007, 483, 94
LAFITE_ROTHSCHILD, 2008, 540, 98
LAFITE_ROTHSCHILD, 2009, 780, 99
LAFITE_ROTHSCHILD, 2010, 700, 98
LAFITE_ROTHSCHILD, 2011, 464, 91
LAFITE_ROTHSCHILD, 2012, 462, 91
LAFITE_ROTHSCHILD, 2013, 464, 90
LATOUR, 1989, 360, 89
